Rank	Feature Name	Feature Importance
0	UserInfo_82	0.0889976441195
1	UserInfo_197	0.064856014257
2	UserInfo_242	0.0636603601237
3	UserInfo_130	0.0614593456625
4	UserInfo_40	0.0510335177124
5	UserInfo_222	0.0407005535031
6	UserInfo_28	0.0317661410989
7	UserInfo_12	0.0241986740232
8	UserInfo_113	0.0239474647085
9	UserInfo_149	0.0237153600982
10	UserInfo_144	0.0206880389205
11	UserInfo_147	0.0188721617384
12	UserInfo_270	0.0188480605757
13	UserInfo_100	0.0150971986804
14	UserInfo_226	0.015087146042
15	UserInfo_105	0.0135921722385
16	UserInfo_220	0.0128074123776
17	UserInfo_145	0.0125599893743
18	UserInfo_193	0.0124055590892
19	UserInfo_122	0.011958501891
20	UserInfo_36	0.0117507396177
21	UserInfo_184	0.0111070951213
22	UserInfo_48	0.0107247550354
23	UserInfo_16	0.0106787944596
24	UserInfo_44	0.0105439132453
25	UserInfo_137	0.0104157134221
26	UserInfo_125	0.0100894716898
27	UserInfo_46	0.0100271694
28	UserInfo_257	0.00938320740826
29	UserInfo_134	0.00904548003899
30	UserInfo_200	0.00778171058467
31	UserInfo_133	0.00745093607324
32	UserInfo_68	0.00733724233591
33	UserInfo_237	0.00733167294611
34	UserInfo_239	0.00727232824474
35	ProductInfo_7	0.00702043119881
36	UserInfo_234	0.00695205761423
37	ProductInfo_117	0.0067476745629
38	UserInfo_25	0.00674394692308
39	UserInfo_159	0.00668743873725
40	UserInfo_203	0.0066498399918
41	UserInfo_18	0.00574139433432
42	UserInfo_62	0.00563630189112
43	UserInfo_156	0.0056210689018
44	ProductInfo_191	0.00549521426064
45	UserInfo_140	0.00541195593147
46	UserInfo_208	0.00530254984774
47	UserInfo_37	0.005002342059
48	UserInfo_58	0.00462765829313
49	UserInfo_26	0.00447635525408
50	WebInfo_3	0.0043093864665
51	UserInfo_27	0.00397252209319
52	UserInfo_262	0.00392717673987
53	UserInfo_150	0.00386356385953
54	UserInfo_213	0.0037826700098
55	UserInfo_10	0.00378127566052
56	UserInfo_182	0.00377593401746
57	UserInfo_121	0.00365598075073
58	UserInfo_83	0.0032800940261
59	UserInfo_253	0.00302212694801
60	UserInfo_153	0.00286248428908
61	ProductInfo_40	0.00279663950961
62	ProductInfo_193	0.00271715650452
63	UserInfo_75	0.00262939051549
64	UserInfo_92	0.00252955923651
65	ProductInfo_208	0.00245694055267
66	UserInfo_43	0.00244696952731
67	ProductInfo_189	0.00243113790709
68	ProductInfo_116	0.0023991115015
69	UserInfo_50	0.00236737803778
70	UserInfo_152	0.00235393060312
71	UserInfo_161	0.00218481876104
72	UserInfo_235	0.00218234102734
73	ProductInfo_114	0.00209753112554
74	UserInfo_73	0.00209421352867
75	UserInfo_88	0.00199334399268
76	UserInfo_51	0.00192017681952
77	UserInfo_55	0.00191487950952
78	UserInfo_108	0.00186297630501
79	ProductInfo_98	0.00176987005178
80	UserInfo_224	0.00176761048377
81	UserInfo_15	0.00172597278631
82	UserInfo_164	0.00170123701639
83	ProductInfo_17	0.0016720375014
84	UserInfo_69	0.00166628453251
85	UserInfo_13	0.00161572778936
86	UserInfo_76	0.00161227615451
87	ProductInfo_172	0.00160300317061
88	UserInfo_241	0.0015440489191
89	UserInfo_238	0.0015338027777
90	UserInfo_165	0.00151813524586
91	UserInfo_49	0.00149221542194
92	UserInfo_212	0.001457009743
93	ProductInfo_101	0.00143977076153
94	UserInfo_109	0.00142969852848
95	UserInfo_65	0.00141903466412
96	UserInfo_17	0.0014158857337
97	UserInfo_169	0.00133939680332
98	UserInfo_85	0.00129943214278
99	UserInfo_265	0.0012575389613
100	ProductInfo_80	0.00124496980711
101	UserInfo_255	0.00122749272143
102	UserInfo_111	0.00117379311638
103	UserInfo_87	0.00109986373561
104	UserInfo_67	0.00108727782214
105	UserInfo_218	0.00108096400613
106	UserInfo_227	0.00106786903918
107	ProductInfo_12	0.00101519272228
108	ProductInfo_166	0.000992898702614
109	ProductInfo_127	0.000934508206088
110	ProductInfo_183	0.000877029144601
111	ProductInfo_57	0.000873412661625
112	ProductInfo_164	0.00085525330114
113	WebInfo_1	0.000852563486193
114	UserInfo_72	0.00084786514857
115	ProductInfo_33	0.00084394925399
116	ProductInfo_3	0.000839820331887
117	ProductInfo_182	0.000824837294148
118	ProductInfo_197	0.000764479248639
119	ProductInfo_27	0.000753086190431
120	ProductInfo_141	0.000711813870559
121	ProductInfo_108	0.000691008482501
122	ProductInfo_148	0.000662225002829
123	UserInfo_243	0.000651784251809
124	UserInfo_7	0.000607981711208
125	UserInfo_248	0.000572533192278
126	ProductInfo_162	0.000569368408993
127	UserInfo_38	0.000556381294291
128	ProductInfo_123	0.00055130505153
129	ProductInfo_173	0.000521219937802
130	ProductInfo_111	0.000520272107092
131	ProductInfo_77	0.000505093398984
132	UserInfo_20	0.000488430896121
133	UserInfo_254	0.000466325898712
134	ProductInfo_50	0.000383247503519
135	UserInfo_210	0.000381408705358
136	UserInfo_215	0.00037720744958
137	UserInfo_78	0.000364510981218
138	UserInfo_47	0.000327761098228
139	UserInfo_217	0.000317025749455
140	ProductInfo_58	0.00031473377117
141	ProductInfo_36	0.000242093566519
142	ProductInfo_167	0.000174754408461
143	UserInfo_119	9.64991723914e-05
