0.1*mean
Rank	Feature Name	Feature Importance
0	UserInfo_82	0.0495833
1	UserInfo_12	0.0435
2	UserInfo_242	0.0390833
3	UserInfo_130	0.03875
4	UserInfo_197	0.0376667
5	UserInfo_100	0.0355833
6	UserInfo_147	0.02425
7	UserInfo_222x82	0.024
8	UserInfo_113	0.0233333
9	UserInfo_27	0.0203333
10	ProductInfo_89	0.0190833
11	UserInfo_92	0.019
12	UserInfo_37	0.016
13	UserInfo_248	0.0151667
14	UserInfo_134	0.0131667
15	UserInfo_40	0.0123333
16	UserInfo_16	0.01225
17	UserInfo_105	0.0115
18	UserInfo_149	0.0113333
19	UserInfo_153	0.0111667
20	UserInfo_184	0.0105
21	UserInfo_262	0.01
22	UserInfo_49	0.00983333
23	UserInfo_15	0.00975
24	UserInfo_218	0.00941667
25	UserInfo_5	0.00891667
26	UserInfo_261	0.00825
27	UserInfo_234	0.00808333
28	UserInfo_19	0.00791667
29	UserInfo_7	0.00758333
30	UserInfo_253	0.00758333
31	UserInfo_222	0.0075
32	UserInfo_50	0.00741667
33	UserInfo_97	0.00741667
34	UserInfo_169	0.00733333
35	UserInfo_36	0.00733333
36	UserInfo_231	0.00716667
37	UserInfo_213	0.00708333
38	UserInfo_108	0.007
39	UserInfo_136	0.00666667
40	UserInfo_239	0.00666667
41	UserInfo_8	0.0065
42	UserInfo_75	0.0065
43	UserInfo_200	0.00641667
44	UserInfo_216	0.00641667
45	UserInfo_3	0.00608333
46	UserInfo_125	0.00583333
47	UserInfo_80	0.00575
48	UserInfo_2	0.00516667
49	UserInfo_179	0.00516667
50	UserInfo_196	0.00516667
51	UserInfo_159	0.00516667
52	UserInfo_63	0.00508333
53	UserInfo_96	0.005
54	UserInfo_265	0.00491667
55	UserInfo_73	0.00483333
56	UserInfo_211	0.00483333
57	UserInfo_17	0.00483333
58	UserInfo_227	0.00458333
59	UserInfo_145	0.00416667
60	UserInfo_25	0.00416667
61	UserInfo_150	0.00416667
62	UserInfo_193	0.00408333
63	UserInfo_133	0.00391667
64	UserInfo_226	0.00391667
65	UserInfo_144	0.00375
66	UserInfo_229	0.00366667
67	UserInfo_203	0.00366667
68	UserInfo_28	0.00358333
69	UserInfo_20	0.0035
70	UserInfo_122	0.0035
71	UserInfo_201	0.00341667
72	UserInfo_160	0.00333333
73	UserInfo_250	0.00325
74	UserInfo_189	0.00316667
75	UserInfo_257	0.00316667
76	UserInfo_11	0.00316667
77	UserInfo_57	0.00283333
78	UserInfo_10	0.00275
79	UserInfo_52	0.00266667
80	UserInfo_23	0.00266667
81	UserInfo_60	0.00266667
82	UserInfo_188	0.00266667
83	UserInfo_254	0.00266667
84	UserInfo_101	0.00266667
85	UserInfo_13	0.00266667
86	UserInfo_51	0.00258333
87	UserInfo_121	0.00258333
88	UserInfo_88	0.00258333
89	UserInfo_132	0.0025
90	ProductInfo_90	0.00241667
91	UserInfo_22	0.00241667
92	UserInfo_243	0.00241667
93	UserInfo_109	0.00241667
94	UserInfo_78	0.00233333
95	ProductInfo_120	0.00225
96	UserInfo_240	0.00225
97	UserInfo_38	0.00225
98	ProductInfo_35	0.00225
99	UserInfo_220	0.00208333
100	ProductInfo_57	0.00208333
101	UserInfo_67	0.00208333
102	UserInfo_182	0.00208333
103	UserInfo_127	0.002
104	UserInfo_165	0.002
105	UserInfo_104	0.002
106	UserInfo_259	0.00191667
107	ProductInfo_134	0.00191667
108	ProductInfo_7	0.00191667
109	UserInfo_54	0.00183333
110	UserInfo_167	0.00175
111	UserInfo_206	0.00175
112	ProductInfo_170	0.00175
113	ProductInfo_48	0.00175
114	ProductInfo_122	0.00166667
115	ProductInfo_172	0.00166667
116	UserInfo_269	0.00166667
117	UserInfo_68	0.00158333
118	UserInfo_152	0.00158333
119	UserInfo_270	0.00158333
120	ProductInfo_116	0.0015
121	UserInfo_207	0.0015
122	ProductInfo_84	0.0015
123	ProductInfo_98	0.00133333
124	ProductInfo_151	0.00133333
125	UserInfo_238	0.00133333
126	ProductInfo_14	0.00133333
127	WebInfo_1	0.00133333
128	UserInfo_33	0.00133333
129	UserInfo_106	0.00133333
130	UserInfo_143	0.00125
131	UserInfo_114	0.00125
132	ProductInfo_77	0.00125
133	UserInfo_107	0.00125
134	UserInfo_66	0.00116667
135	ProductInfo_17	0.00116667
136	ProductInfo_146	0.00116667
137	UserInfo_112	0.00116667
138	UserInfo_116	0.00116667
139	UserInfo_83	0.00108333
140	UserInfo_76	0.00108333
141	UserInfo_18	0.00108333
142	ProductInfo_127	0.001
143	UserInfo_62	0.001
144	ProductInfo_80	0.001
145	UserInfo_263	0.001
146	UserInfo_210	0.001
147	UserInfo_137	0.000916667
148	UserInfo_148	0.000916667
149	UserInfo_128	0.000916667
150	UserInfo_187	0.000916667
151	UserInfo_72	0.000916667
